Company Name,Industry,Symbol,Series,ISIN Code,Model_created,Priority
Adani Enterprises Ltd.,Metals & Mining,ADANIENT.NS,EQ,INE423A01024,No,20
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS.NS,EQ,INE742F01042,No,21
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP.NS,EQ,INE437A01024,No,22
Asian Paints Ltd.,Consumer Durables,ASIANPAINT.NS,EQ,INE021A01026,No,23
Axis Bank Ltd.,Financial Services,AXISBANK.NS,EQ,INE238A01034,No,24
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO.NS,EQ,INE917I01010,No,25
Bajaj Finance Ltd.,Financial Services,BAJFINANCE.NS,EQ,INE296A01024,No,26
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV.NS,EQ,INE918I01026,No,27
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL.NS,EQ,INE029A01011,No,28
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL.NS,EQ,INE397D01024,No,4
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA.NS,EQ,INE216A01030,No,29
Cipla Ltd.,Healthcare,CIPLA.NS,EQ,INE059A01026,No,30
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA.NS,EQ,INE522F01014,No,3
Divi's Laboratories Ltd.,Healthcare,DIVISLAB.NS,EQ,INE361B01024,No,31
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY.NS,EQ,INE089A01023,No,32
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT.NS,EQ,INE066A01021,No,6
Grasim Industries Ltd.,Construction Materials,GRASIM.NS,EQ,INE047A01021,No,7
HCL Technologies Ltd.,Information Technology,HCLTECH.NS,EQ,INE860A01027,No,33
HDFC Bank Ltd.,Financial Services,HDFCBANK.NS,EQ,INE040A01034,No,1
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE.NS,EQ,INE795G01014,No,34
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO.NS,EQ,INE158A01026,No,5
Hindalco Industries Ltd.,Metals & Mining,HINDALCO.NS,EQ,INE038A01020,No,35
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR.NS,EQ,INE030A01027,No,36
ICICI Bank Ltd.,Financial Services,ICICIBANK.NS,EQ,INE090A01021,No,2
ITC Ltd.,Fast Moving Consumer Goods,ITC.NS,EQ,INE154A01025,No,37
IndusInd Bank Ltd.,Financial Services,INDUSINDBK.NS,EQ,INE095A01012,No,38
Infosys Ltd.,Information Technology,INFY.NS,EQ,INE009A01021,No,39
JSW Steel Ltd.,Metals & Mining,JSWSTEEL.NS,EQ,INE019A01038,No,40
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK.NS,EQ,INE237A01028,No,8
LTIMindtree Ltd.,Information Technology,LTIM.NS,EQ,INE214T01019,No,41
Larsen & Toubro Ltd.,Construction,LT.NS,EQ,INE018A01030,No,42
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M.NS,EQ,INE101A01026,No,43
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI.NS,EQ,INE585B01010,No,9
NTPC Ltd.,Power,NTPC.NS,EQ,INE733E01010,No,44
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND.NS,EQ,INE239A01024,No,45
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC.NS,EQ,INE213A01029,No,46
Power Grid Corporation of India Ltd.,Power,POWERGRID.NS,EQ,INE752E01010,No,47
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE.NS,EQ,INE002A01018,No,48
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE.NS,EQ,INE123W01016,No,49
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN.NS,EQ,INE721A01013,No,50
State Bank of India,Financial Services,SBIN.NS,EQ,INE062A01020,No,10
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA.NS,EQ,INE044A01036,No,14
Tata Consultancy Services Ltd.,Information Technology,TCS.NS,EQ,INE467B01029,No,15
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM.NS,EQ,INE192A01025,No,16
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS.NS,EQ,INE155A01022,No,17
Tata Steel Ltd.,Metals & Mining,TATASTEEL.NS,EQ,INE081A01020,No,18
Tech Mahindra Ltd.,Information Technology,TECHM.NS,EQ,INE669C01036,No,13
Titan Company Ltd.,Consumer Durables,TITAN.NS,EQ,INE280A01028,No,19
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO.NS,EQ,INE481G01011,No,12
Wipro Ltd.,Information Technology,WIPRO.NS,EQ,INE075A01022,No,11
